priority,category,person_id,name,our_dob,candidate_qids,first_candidate_url
1,verify-dob-single-search,person-c82b5012c984,Nguyễn Đăng Khải,1966-09-02,Q135880354,https://www.wikidata.org/wiki/Q135880354
1,verify-dob-single-pool,person-1abb82358ec4,Nguyễn Đức Dũng,1967-08-04,Q10800170,https://www.wikidata.org/wiki/Q10800170
1,verify-dob-single-pool,person-c790904e5d1e,Nguyễn Đức Hải,1961-07-29,Q10800176,https://www.wikidata.org/wiki/Q10800176
1,verify-dob-single-search,person-34c3b35e06e2,Ngô Hoàng Ngân,1966-05-25,Q116976058,https://www.wikidata.org/wiki/Q116976058
1,verify-dob-single-search,person-f5035869a3cc,Ngô Thanh Danh,1965-10-20,Q30922077,https://www.wikidata.org/wiki/Q30922077
1,verify-dob-single-search,person-a5cf98282e76,Ngô Văn Tuấn,1971-08-02,Q109435466,https://www.wikidata.org/wiki/Q109435466
1,verify-dob-single-search,person-d818a8e6e7b7,Phan Huỳnh Sơn,1963-01-01,Q30921745,https://www.wikidata.org/wiki/Q30921745
1,verify-dob-single-search,person-b0e2b2af1c51,Phan Thái Bình,1974-08-12,Q47506357,https://www.wikidata.org/wiki/Q47506357
1,verify-dob-single-search,person-a251fbbc09bc,Phan Thị Mỹ Dung,1974-11-28,Q47506327,https://www.wikidata.org/wiki/Q47506327
1,verify-dob-single-pool,person-03d90edf2989,Phan Văn Giang,1960-10-14,Q20026119,https://www.wikidata.org/wiki/Q20026119
1,verify-dob-single-search,person-ae4ca6655d6b,Phan Văn Mãi,1973-02-25,Q24958694,https://www.wikidata.org/wiki/Q24958694
1,verify-dob-single-pool,person-f6d100dc1b77,Phan Xuân Dũng,1960-05-20,Q10805139,https://www.wikidata.org/wiki/Q10805139
1,verify-dob-single-pool,person-bfff39afb603,Phan Đình Trạc,1958-08-25,Q10805156,https://www.wikidata.org/wiki/Q10805156
1,verify-dob-single-search,person-fbb16e5f908f,Phạm Như Hiệp,1965-08-10,Q30922040,https://www.wikidata.org/wiki/Q30922040
1,verify-dob-single-search,person-09ec16fa2d35,Phạm Văn Hòa,1962-10-02,Q47506280,https://www.wikidata.org/wiki/Q47506280
1,verify-dob-single-search,person-4f9721662f42,Phạm Đình Toản,1966-05-26,Q47506304,https://www.wikidata.org/wiki/Q47506304
1,verify-dob-single-search,person-8da303b7f1db,Phạm Đại Dương,1974-02-06,Q61132836,https://www.wikidata.org/wiki/Q61132836
1,verify-dob-single-search,person-f5f331d04fe8,Quàng Văn Hương,1969-07-03,Q47506367,https://www.wikidata.org/wiki/Q47506367
